Modelo,Clase,FPR,TPR,Threshold,AUC
SVM,Anxiety_Stress,0.009102730819245773,0.29731925264013,0.9946613790474772,0.9445828874576263
SVM,Anxiety_Stress,0.009102730819245773,0.3257514216084484,0.9940443440009349,0.9445828874576263
SVM,Anxiety_Stress,0.010403120936280884,0.3257514216084484,0.9940221510168723,0.9445828874576263
SVM,Anxiety_Stress,0.010403120936280884,0.3460601137286759,0.9931764799174135,0.9445828874576263
SVM,Anxiety_Stress,0.011703511053315995,0.3460601137286759,0.9931662132683564,0.9445828874576263
SVM,Anxiety_Stress,0.011703511053315995,0.35743298131600326,0.992699671558043,0.9445828874576263
SVM,Anxiety_Stress,0.013003901170351105,0.35743298131600326,0.9926876850334021,0.9445828874576263
SVM,Anxiety_Stress,0.013003901170351105,0.39480097481722176,0.9913795633595827,0.9445828874576263
SVM,Anxiety_Stress,0.014304291287386216,0.39480097481722176,0.991358187928449,0.9445828874576263
SVM,Anxiety_Stress,0.014304291287386216,0.41267262388302195,0.9901935529912833,0.9445828874576263
SVM,Anxiety_Stress,0.015604681404421327,0.41267262388302195,0.990166774666302,0.9445828874576263
SVM,Anxiety_Stress,0.015604681404421327,0.429731925264013,0.9891958604918786,0.9445828874576263
SVM,Anxiety_Stress,0.016905071521456438,0.429731925264013,0.9890839534569551,0.9445828874576263
SVM,Anxiety_Stress,0.016905071521456438,0.437855402112104,0.9885042503526684,0.9445828874576263
SVM,Anxiety_Stress,0.018205461638491547,0.437855402112104,0.9884620840082297,0.9445828874576263
SVM,Anxiety_Stress,0.018205461638491547,0.45816409423233145,0.9872923812982549,0.9445828874576263
SVM,Anxiety_Stress,0.01950585175552666,0.45816409423233145,0.9872840076831433,0.9445828874576263
SVM,Anxiety_Stress,0.01950585175552666,0.46791226645004064,0.9864228055056281,0.9445828874576263
SVM,Anxiety_Stress,0.02080624187256177,0.46791226645004064,0.9863778476500012,0.9445828874576263
SVM,Anxiety_Stress,0.02080624187256177,0.4800974817221771,0.9859783048014596,0.9445828874576263
SVM,Anxiety_Stress,0.022106631989596878,0.4800974817221771,0.9859281423172811,0.9445828874576263
SVM,Anxiety_Stress,0.022106631989596878,0.49065800162469536,0.985402758673809,0.9445828874576263
SVM,Anxiety_Stress,0.02340702210663199,0.49065800162469536,0.9853836088783623,0.9445828874576263
SVM,Anxiety_Stress,0.02340702210663199,0.49228269699431354,0.9853285229474504,0.9445828874576263
SVM,Anxiety_Stress,0.0247074122236671,0.49228269699431354,0.9853198854754716,0.9445828874576263
SVM,Anxiety_Stress,0.0247074122236671,0.4979691307879773,0.984892499265946,0.9445828874576263
SVM,Anxiety_Stress,0.02600780234070221,0.4979691307879773,0.9848769259832798,0.9445828874576263
SVM,Anxiety_Stress,0.02600780234070221,0.5109666937449229,0.9842348872998906,0.9445828874576263
SVM,Anxiety_Stress,0.027308192457737322,0.5109666937449229,0.984205661194133,0.9445828874576263
SVM,Anxiety_Stress,0.027308192457737322,0.511779041429732,0.9841137439452353,0.9445828874576263
SVM,Anxiety_Stress,0.02860858257477243,0.511779041429732,0.9839980910144189,0.9445828874576263
SVM,Anxiety_Stress,0.02860858257477243,0.5142160844841592,0.9836396518635963,0.9445828874576263
SVM,Anxiety_Stress,0.02990897269180754,0.5142160844841592,0.9832891129619398,0.9445828874576263
SVM,Anxiety_Stress,0.02990897269180754,0.5207148659626321,0.9829493026724955,0.9445828874576263
SVM,Anxiety_Stress,0.031209362808842653,0.5207148659626321,0.9829486083138812,0.9445828874576263
SVM,Anxiety_Stress,0.031209362808842653,0.5483346872461413,0.9807362457110848,0.9445828874576263
SVM,Anxiety_Stress,0.032509752925877766,0.5483346872461413,0.9806516899360146,0.9445828874576263
SVM,Anxiety_Stress,0.032509752925877766,0.554021121039805,0.9803854800056933,0.9445828874576263
SVM,Anxiety_Stress,0.033810143042912875,0.554021121039805,0.9803001007014216,0.9445828874576263
SVM,Anxiety_Stress,0.033810143042912875,0.5564581640942323,0.9801508828958728,0.9445828874576263
SVM,Anxiety_Stress,0.035110533159947985,0.5564581640942323,0.9801148199647964,0.9445828874576263
SVM,Anxiety_Stress,0.035110533159947985,0.5572705117790414,0.980104515933811,0.9445828874576263
SVM,Anxiety_Stress,0.036410923276983094,0.5572705117790414,0.9800602847252673,0.9445828874576263
SVM,Anxiety_Stress,0.036410923276983094,0.5881397238017871,0.9766313465267885,0.9445828874576263
SVM,Anxiety_Stress,0.0377113133940182,0.5881397238017871,0.9764085439716025,0.9445828874576263
SVM,Anxiety_Stress,0.0377113133940182,0.5889520714865962,0.9763990571481426,0.9445828874576263
SVM,Anxiety_Stress,0.03901170351105332,0.5889520714865962,0.976366086887761,0.9445828874576263
SVM,Anxiety_Stress,0.03901170351105332,0.59463850528026,0.9751515342929853,0.9445828874576263
SVM,Anxiety_Stress,0.04031209362808843,0.59463850528026,0.9750850748225186,0.9445828874576263
SVM,Anxiety_Stress,0.04031209362808843,0.5995125913891145,0.9742586362663497,0.9445828874576263
SVM,Anxiety_Stress,0.04161248374512354,0.5995125913891145,0.9741831722448288,0.9445828874576263
SVM,Anxiety_Stress,0.04161248374512354,0.6011372867587328,0.9739743420198496,0.9445828874576263
SVM,Anxiety_Stress,0.04291287386215865,0.6011372867587328,0.9736857993447292,0.9445828874576263
SVM,Anxiety_Stress,0.04291287386215865,0.6068237205523964,0.9731331983639161,0.9445828874576263
SVM,Anxiety_Stress,0.044213263979193757,0.6068237205523964,0.9731181661992849,0.9445828874576263
SVM,Anxiety_Stress,0.044213263979193757,0.6173842404549147,0.9713602289880728,0.9445828874576263
SVM,Anxiety_Stress,0.04681404421326398,0.6173842404549147,0.9712746590127296,0.9445828874576263
SVM,Anxiety_Stress,0.04681404421326398,0.619821283509342,0.9710111736249464,0.9445828874576263
SVM,Anxiety_Stress,0.04811443433029909,0.619821283509342,0.9710028349136822,0.9445828874576263
SVM,Anxiety_Stress,0.04811443433029909,0.6214459788789602,0.9709586146541251,0.9445828874576263
SVM,Anxiety_Stress,0.0494148244473342,0.6214459788789602,0.9707820769378895,0.9445828874576263
SVM,Anxiety_Stress,0.0494148244473342,0.6230706742485784,0.9700863151224524,0.9445828874576263
SVM,Anxiety_Stress,0.05071521456436931,0.6230706742485784,0.9697625610897669,0.9445828874576263
SVM,Anxiety_Stress,0.05071521456436931,0.6255077173030057,0.9694130262184208,0.9445828874576263
SVM,Anxiety_Stress,0.05201560468140442,0.6255077173030057,0.9694073207912927,0.9445828874576263
SVM,Anxiety_Stress,0.05201560468140442,0.6263200649878148,0.9693752400239443,0.9445828874576263
SVM,Anxiety_Stress,0.053315994798439535,0.6263200649878148,0.9692357778095295,0.9445828874576263
SVM,Anxiety_Stress,0.053315994798439535,0.628757108042242,0.9688169049103185,0.9445828874576263
SVM,Anxiety_Stress,0.054616384915474644,0.628757108042242,0.9687907255094956,0.9445828874576263
SVM,Anxiety_Stress,0.054616384915474644,0.6303818034118602,0.9687471816342232,0.9445828874576263
SVM,Anxiety_Stress,0.055916775032509754,0.6303818034118602,0.9687098396694638,0.9445828874576263
SVM,Anxiety_Stress,0.055916775032509754,0.636068237205524,0.9681719444558436,0.9445828874576263
